perfume_index,similar_perfume_index,rounded_percentage_match
478,10392,72
478,5706,71
479,1676,69
479,4451,69
479,10052,61
480,6662,72
480,5647,63
480,4119,59
481,6765,71
481,7960,67
481,789,67
482,1494,80
482,7402,62
482,1895,60
483,9914,71
483,5292,70
483,4180,69
484,2856,68
484,7782,48
484,4527,46
485,578,72
485,1166,60
485,9302,58
486,4556,82
486,7774,77
486,9959,58
487,4867,56
487,706,48
487,10001,46
488,4706,61
488,5385,60
488,1814,58
489,1611,72
489,10145,71
489,1576,64
490,6633,72
490,2242,67
490,1441,62
491,7408,59
491,9743,52
491,3426,51
492,9591,75
492,9035,72
492,3207,72
493,9702,64
493,1372,51
493,10363,49
494,6222,87
494,3105,80
494,6214,73
495,5789,90
495,9227,77
495,9955,69
496,10654,100
496,9277,100
496,496,100
497,1904,100
497,8331,100
497,1421,94
498,2462,50
498,2471,47
498,2436,47
499,8001,63
499,7474,63
499,5786,62
500,10614,57
500,7474,56
500,8000,55
501,6335,68
501,2284,62
501,181,55
502,505,69
502,2143,61
502,9223,54
503,503,100
503,6106,69
503,5777,66
504,509,67
504,6475,66
504,5937,60
505,502,69
505,6068,57
505,9223,54
506,503,100
506,6106,69
506,5777,66
507,1177,71
507,4424,60
507,6432,54
508,3404,54
508,2757,53
508,9617,50
509,504,67
509,4330,57
509,7538,57
510,8245,58
510,1716,49
510,1371,48
511,143,75
511,6315,69
511,3838,67
512,8885,44
512,4249,39
512,10023,38
513,291,65
513,4024,62
513,8171,61
514,1878,64
514,10590,60
514,6594,58
515,17,67
515,4486,60
515,2206,59
516,2158,50
516,5044,41
516,5663,38
517,5855,51
517,6357,50
517,2855,46
518,10659,53
518,3289,50
518,6360,47
519,9534,75
519,9188,74
519,520,73
520,521,95
520,519,73
520,10026,66
521,520,95
521,519,72
521,5613,69
522,2769,81
522,88,77
522,1087,73
523,9965,71
523,32,67
523,1880,67
524,6609,66
524,1304,62
524,6427,58
525,3357,77
525,6950,69
525,6406,65
526,1894,67
526,5187,65
526,3339,61
527,4267,55
527,1079,55
527,2769,52
528,9808,53
528,6999,48
528,7540,42
529,10483,62
529,3793,59
529,7601,59
530,450,72
530,7904,55
530,902,55
531,8182,59
531,7787,52
531,1866,51
532,2625,69
532,7605,62
532,7805,60
533,4880,54
533,2085,46
533,1756,44
534,7386,57
534,10744,57
534,541,56
535,9596,58
535,8962,55
535,10496,53
536,403,57
536,2899,55
536,9738,54
537,10656,62
537,4514,61
537,1440,60
538,711,55
538,7308,51
538,44,51
539,6593,64
539,5918,54
539,5063,54
540,5961,49
540,9782,44
540,1362,44
541,5593,62
541,3769,58
541,7386,58
542,5726,58
542,8995,57
542,3015,56
543,4442,55
543,9851,55
543,621,54
544,7595,72
544,9436,65
544,2589,52
545,2876,48
545,9724,47
545,7603,47
546,9492,51
546,10633,43
546,6546,43
547,10283,44
547,5344,44
547,9481,44
548,691,50
548,1538,45
548,34,44
549,7624,60
549,2031,47
549,2302,46
550,4229,48
550,5442,45
550,4987,45
551,4887,45
551,2677,41
551,5060,40
552,8623,65
552,10406,64
552,6098,59
553,9002,61
553,3651,61
553,5247,60
554,5567,64
554,4701,51
554,6135,48
555,3378,76
555,2348,70
555,3817,70
556,6103,67
556,7426,65
556,4799,65
557,6229,44
557,5723,44
557,1533,44
558,10249,84
558,2867,68
558,6743,66
559,1246,75
559,1021,67
559,1717,61
560,9536,44
560,5835,44
560,8127,39
561,589,54
561,3739,45
561,6234,43
562,7893,60
562,7369,53
562,6011,52
563,959,70
563,7416,60
563,4190,60
564,2797,52
564,4987,50
564,9102,45
565,9966,75
565,2798,69
565,5672,68
566,5706,68
566,126,67
566,5913,67
567,317,65
567,2345,56
567,410,55
568,3964,84
568,8329,83
568,322,77
569,6603,51
569,5731,48
569,825,44
570,9436,57
570,7533,53
570,8162,50
571,6679,47
571,9551,40
571,707,39
572,4226,52
572,2652,52
572,8063,49
573,3866,70
573,7383,70
573,7230,69
574,10554,78
574,3227,74
574,2053,71
575,4505,33
575,8790,27
575,465,26
576,5238,74
576,7314,66
576,10654,66
577,4665,68
577,2230,55
577,5984,52
578,9302,75
578,485,72
578,9966,68
579,6888,60
579,8273,58
579,7610,54
580,1365,72
580,2586,71
580,7796,66
581,409,75
581,6061,69
581,3199,68
582,583,53
582,1381,45
582,10440,42
583,4425,58
583,3059,55
583,4926,55
584,2982,63
584,10704,63
584,7855,57
585,1518,77
585,10162,73
585,728,71
586,8633,63
586,3071,63
586,7680,57
587,3795,75
587,3791,63
587,3565,62
588,603,69
588,5010,68
588,9046,66
589,3400,56
589,561,54
589,4126,51
590,8801,55
590,10664,54
590,2450,51
591,3931,41
591,6207,37
591,1331,36
592,26,51
592,8349,43
592,2407,42
593,3058,47
593,5270,47
593,4048,44
594,5564,41
594,7514,41
594,6507,39
595,2433,48
595,130,45
595,6508,44
596,2852,57
596,170,50
596,6075,43
597,9898,41
597,6979,39
597,1165,39
598,7874,61
598,10798,61
598,2824,60
599,5665,44
599,3331,44
599,3580,44
600,3478,48
600,3472,47
600,4142,47
601,3859,46
601,7793,45
601,2773,45
602,3562,65
602,3568,65
602,6203,62
603,1086,77
603,4423,76
603,5010,76
604,9469,73
604,1823,65
604,9966,61
605,6061,57
605,3199,57
605,8535,57
606,7290,82
606,1492,78
606,4966,76
607,7931,70
607,50,59
607,4418,59
608,8153,56
608,6328,50
608,10241,49
609,609,100
609,1619,100
609,10409,100
610,1821,63
610,5855,60
610,4658,59
611,337,69
611,2769,65
611,1523,62
612,1231,64
612,615,61
612,4744,52
613,4515,75
613,4517,75
613,4516,75
614,7532,72
614,5510,72
614,1042,66
615,612,61
615,7148,59
615,7838,56
616,2450,58
616,3668,57
616,980,57
617,5361,74
617,9548,58
617,9554,55
618,6071,69
618,5147,68
618,5165,62
619,7871,54
619,1106,52
619,1722,51
620,1444,66
620,10652,65
620,7871,65
621,3736,77
621,6872,74
621,8873,74
622,1749,57
622,3324,56
622,760,52
623,4143,78
623,9696,75
623,7361,70
624,10073,59
624,7911,58
624,1363,57
625,9600,100
625,1761,100
625,5383,89
626,140,60
626,4840,59
626,1693,56
627,1811,77
627,2785,72
627,5281,69
628,1754,80
628,1852,61
628,9139,58
629,760,67
629,1779,60
629,4940,59
630,10547,49
630,9920,49
630,2818,49
631,8268,63
631,9874,62
631,3482,55
632,780,81
632,5602,69
632,4624,68
633,7472,68
633,9663,66
633,1055,65
634,9146,59
634,3419,53
634,4292,51
635,7557,44
635,6513,44
635,321,42
636,4181,81
636,10112,71
636,1305,70
637,1730,67
637,7397,65
637,419,64
638,9068,57
638,3118,57
638,7646,55
639,6558,55
639,598,53
639,5518,52
640,9698,55
640,10606,53
640,8486,52
641,9941,60
641,5385,55
641,8730,53
642,6027,46
642,1937,43
642,6013,42
643,1822,48
643,8861,48
643,4965,47
644,645,87
644,7761,73
644,2837,62
645,644,87
645,7761,71
645,2837,60
646,661,53
646,4399,49
646,8668,48
647,2037,65
647,7603,65
647,5815,60
648,9613,57
648,161,53
648,2750,52
649,9855,66
649,5310,54
649,1288,54
650,2310,59
650,4845,51
650,3763,47
651,1204,54
651,4629,54
651,10607,50
652,2313,52
652,2310,49
652,6824,47
653,8465,41
653,10291,39
653,5774,38
654,661,57
654,4399,46
654,4289,44
655,305,65
655,9946,43
655,293,40
656,1789,47
656,7880,46
656,5024,46
657,345,57
657,1172,53
657,9603,51
658,1764,81
658,6519,72
658,4685,71
659,6933,55
659,4613,51
659,4480,49
660,6088,63
660,2499,61
660,677,60
661,654,57
661,646,53
661,2025,50
662,10704,56
662,584,43
662,9619,42
663,506,63
663,503,63
663,4775,63
664,4497,51
664,9968,48
664,7469,47
665,463,52
665,7513,48
665,1813,40
666,1751,57
666,5815,51
666,2035,50
667,6333,51
667,114,50
667,108,50
668,6199,53
668,2071,52
668,7534,51
669,7319,39
669,3294,37
669,793,36
670,1475,53
670,1720,51
670,1007,46
671,2085,50
671,9964,48
671,7426,48
672,3922,39
672,2992,39
672,8865,39
673,9436,57
673,7595,51
673,7533,51
674,738,68
674,744,68
674,9830,56
675,6951,54
675,9833,52
675,1756,50
